id	site	country	latitude	longitude	coord_source	period	fauna_source	taxon	occurrence
2	Abu Hureyra	Syria	35.867	38.4	Schyle & Uerpmann 1996	Protoneolithic	Moore, Hillman & Legge 1975	Equus	1
2	Abu Hureyra	Syria	35.867	38.4	Schyle & Uerpmann 1996	Early Neolithic	Moore, Hillman & Legge 1975	Equus	1
2	Abu Hureyra	Syria	35.867	38.4	Schyle & Uerpmann 1996	Late Neolithic	Moore, Hillman & Legge 1975	Equus	1
8	Ain Mallaha	Israel	33.13	35.58	CONTEXT	Protoneolithic	Ducos 1968, for Canis see Davis & Valla 1978	Equus	1
12	Amuq	Turkey	36.268	36.587	Yener 2005	Late Neolithic	Stampfli 1983	Equus	1
14	Apamee, Tell	Syria	35.491	36.402	Pleiades	Late Neolithic	Gautier 1977	Equus	1
19	Aşıklı Hüyük	Turkey	38.35	34.23	CONTEXT	Early Neolithic	Payne 1985	Equus	1
26	Beersheba – Bir es-Safadi	Israel	32.931	35.408	Pleiades	Late Neolithic	Josien 1955; Ducos 1968	Equus	1
27	Beersheba – Horvat Beter	Israel	32.931	35.408	Pleiades	Late Neolithic	Angress 1959	Equus	1
28	Beidha	Jordan	30.37	35.45	CONTEXT	Early Neolithic	Hecker 1974, 1982	Equus	1
29	Beisamoun	Israel	33.093	35.58	Bocquentin et al. 2011	Early Neolithic	Davis 1978	Equus	1
37	Çatal Hüyük	Turkey	37.668	32.828	Pleiades	Early Neolithic	Perkins 1969	Equus	1
45	Der, Tell ed-	Iraq	33.099	44.299	Pleiades	Bronze Age	Bökönyi 1978	Equus	1
49	Dosariyah, Abu Khamis, and Ain Qannas	Saudi Arabia	26.94	49.71	CONTEXT	Late Neolithic	Zeder pers. comm.	Equus	1
55	Eli, Tel	Israel	32.5	35.5	Kopp & Röllig 1994	Early Neolithic	Jarman 1974	Equus	1
55	Eli, Tel	Israel	32.5	35.5	Kopp & Röllig 1994	Late Neolithic	Jarman 1974	Equus	1
64	Gat-Govrin	Israel	31.583	34.833	Kopp & Röllig 1994	Late Neolithic	Ducos 1968	Equus	1
70	Girikihaciyan	Turkey	38.233	39.967	Watson 1990	Late Neolithic	Mcardle 1974	Equus	1
