id	site	country	latitude	longitude	coord_source	periods	fauna_source	Hippopotamus_amphibius	Rhinoceros_hemitoechus	Dicerorhinus_sp	Dicerorhinus_hemitoechus	Dicerorhinus_mercki	Equus_sp	Equus_ferus	Equus_hemionus	Equus_africanus	Equus_hydruntinus	Equus_greyvi	Sus_sp	Sus_scrofa	Sus_gadarensis	Ceratotherium_simum	Phacochoerus_aethiopicus	Phacochoerus_garrodae	Addax_nasomaculatus	Damaliscus_sp	Giraffa_camelopardalis	Camelus_sp	Camelus_dromedarius	Camelus_ferus	Camelus_bactrianus	Camelus_thomasi	Homoioceras_antiquus	Cervus_sp	Cervus_elaphus	Cervus_duvauceli	Cervus_unicolor	Axis_axis	Axis_porcinus	Dama_sp	Dama_dama	Dama_mesopotamica	Capreolus_capreolus	Boselaphus_sp	Boselaphus_tragocamelus	Bos_sp	Bos_primigenius	Bubalus_sp	Bubalus_arnee	Bison_bison	Syncerus_caffer	Alcephalus_sp	Alcelaphus_buselaphus	Adenota_kob	Antilope_cervicapra	Taurotragus_sp	Oryx_sp	Oryx_leucoryx	Oryx_dammah	Hippotragus_equinus	Gazella_sp	Gazella_gazella	Gazella_dorcas	Gazella_subgutturosa	Gazella_leptocerus	Gazella_bennetti	Gazella_rufifrons	Gazella_dama	Ovis_sp	Ovis_orientalis	Ovis_vignei	Ovis_ammon	Ammotragus_lervia	Capra_sp	Capra_aegagrus	Capra_nubiana	Hemitragus_sp	Hemitragus_jayakari
1	Ababra, Tell	Iraq	34.267	45.071	Pleiades	BA	von den Driesch & Amberger 1981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	Abu Hureyra	Syria	35.867	38.400	Schyle & Uerpmann 1996	PN;EN;LN	Moore, Hillman & Legge 1975	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0
3	Abu Salabikh	Iraq	32.253	45.054	Pleiades	BA	Clutton-Brock & Burleigh 1978	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	Abu Salim	Israel	30.530	34.520	CONTEXT	PN	Butler et al. 1977; Dabis et al. 1982	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
5	Abu Simbel east bank	Egypt	22.336	31.627	Pleiades	EP;PN;EN;LN	Reed in Wendt 1966	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	Abu Zureiq	Israel	32.636	35.126	Garfinkel & Matskevich 2002	LN	Ducos 1968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	Ain Ghazal	Jordan	31.930	35.940	CONTEXT	EN	Köhler-Rollefson 1984	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
8	Ain Mallaha	Israel	33.130	35.580	CONTEXT	PN	Ducos 1968, for Canis see Davis & Valla 1978	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
9	Ali Kosh	Iran	32.560	47.320	CONTEXT	EN	Hole, Flannery & Neely 1969	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0
10	Ali Tappe	Iran	36.680	53.550	CONTEXT	EP	Uerpmann & Frey 1981	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
